location_name,quantile,target_end_date,value
Florida,0.1,2022-01-29,53.10248804910373
Florida,0.1,2022-02-05,53.07239819773855
Florida,0.1,2022-02-12,50.088197793480646
Florida,0.1,2022-02-19,47.10399738922275
Florida,0.15,2022-01-22,62.77425216653582
Florida,0.15,2022-01-29,62.772422951521676
Florida,0.15,2022-02-05,62.77059373650753
Florida,0.15,2022-02-12,60.40270303224471
Florida,0.15,2022-02-19,58.03481232798189
Florida,0.2,2022-01-22,70.64755180801401
Florida,0.2,2022-01-29,70.89656924148272
Florida,0.2,2022-02-05,71.14558667495142
Florida,0.2,2022-02-12,69.41704678783412
Florida,0.2,2022-02-19,67.68850690071685
Florida,0.25,2022-01-22,77.42332657149558
Florida,0.25,2022-01-29,78.13056981889122
Florida,0.25,2022-02-05,78.83781306628686
